Algorithm,Imbalance fix:,Width,height,Dark omitted,Light omitted,Normalization,PCA,Recall on test,Recall on set,Balanced Accuracy
BernoulliNB,Over,164,130,NA,NA,Mean-Norm,n=3500,97.14%,92.93%,96.14%
BernoulliNB,Over,180,143,NA,NA,Mean-Norm,n=3500,94.28%,90.21%,95.08%
BernoulliNB,Over,149,118,NA,NA,Mean-Norm,n=3500,94.28%,90.21%,95.09%
BernoulliNB,Over,149,118,NA,NA,Mean-Norm,,91.42%,89.13%,
BernoulliNB,Over,149,118,NA,NA,Mean-Norm,n=2000,91.42%,89.13%,
BernoulliNB,Over,149,118,NA,NA,Mean-Norm,n=1000,88.57%,89.13%,93.71%
MultinomialNB,Over,149,118,NA,NA,,,85.71%,83.15%,
MultinomialNB,Over,149,118,NA,NA,Mean_Norm - X.min(),,85.71%,83.15%,
MultinomialNB,Over,149,118,NA,NA,MinMax_Norm - X.min(),,85.71%,83.15%,
BernoulliNB,Over,149,118,NA,NA,NA,,28.57%,32.06%,
BernoulliNB,Over,149,118,NA,NA,MinMax-Norm,,28.57%,32.06%,
BernoulliNB,Over,298,237,N/A,NA,,,25.71%,32.06%,
BernoulliNB,Over,75,59,N/A,NA,,,22.85%,31.52%,
BernoulliNB,Under,149,118,NA,NA,,,22.85%,30.97%,
